City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,labasa,-16.4167,179.3833,26.73,73,41,2.57,FJ,1686350455
348,kangayam,11.0,77.5667,24.93,79,90,7.8,IN,1686350456
349,northam,51.0333,-4.2167,20.14,83,98,6.12,GB,1686350456
350,bosaso,11.2842,49.1816,33.33,47,79,5.36,SO,1686350456
351,chabahar,25.2919,60.643,30.37,66,0,2.09,IR,1686350457
352,north bay,46.3168,-79.4663,20.62,62,75,2.06,CA,1686350455
353,dudinka,69.4058,86.1778,2.57,62,33,3.86,RU,1686350457
354,coron,11.9986,120.2043,27.04,87,100,4.36,PH,1686350458
355,bayanhongor,46.7167,100.1167,12.3,59,55,1.05,MN,1686350458
356,fale old settlement,-9.3852,-171.2468,28.6,79,27,6.55,TK,1686350458
357,natal,-5.795,-35.2094,23.36,100,75,5.14,BR,1686350017
358,keyser,39.4409,-78.9739,21.25,48,55,0.45,US,1686350385
359,chos malal,-37.3781,-70.2709,5.64,60,39,5.01,AR,1686350459
360,zaysan,47.4667,84.8667,22.56,29,7,2.82,KZ,1686350460
361,pariaman,-0.619,100.12,24.56,84,98,1.81,ID,1686350460
362,edna,28.9786,-96.6461,33.93,70,24,3.87,US,1686350453
363,muskegon,43.3,-86.1334,24.19,39,40,3.6,US,1686350277
364,qui nhon,13.7667,109.2333,28.28,72,100,5.51,VN,1686350461
365,zag,46.9441,99.165,13.25,61,25,0.92,MN,1686350461
366,raichur,16.2,77.3667,28.02,56,92,4.26,IN,1686350359
367,kristiansund,63.1115,7.732,14.36,47,15,1.54,NO,1686350462
368,kolonia,50.9333,6.95,22.36,59,0,4.12,DE,1686350366
369,hluti,-27.2167,31.6167,13.63,94,1,1.57,SZ,1686350462
370,kerman,30.2832,57.0788,13.92,77,0,0.0,IR,1686350463
371,dryden,49.7833,-92.7503,20.16,77,40,5.14,CA,1686350463
372,sentjernej,45.84,15.3361,17.75,94,21,1.03,SI,1686350463
373,zacatepec,18.65,-99.2,38.69,22,12,3.52,MX,1686350464
374,east london,-33.0153,27.9116,15.29,67,11,8.28,ZA,1686350464
375,kifri,34.6959,44.9661,31.73,20,50,2.59,IQ,1686350464
376,alofi,-19.0595,-169.9187,27.94,78,3,3.6,NU,1686350465
377,khor,47.8861,134.9464,13.89,95,100,2.42,RU,1686350465
378,hirara,24.8,125.2833,26.92,100,100,3.6,JP,1686350465
379,kamenica,50.8333,12.9167,16.64,84,27,1.99,DE,1686350466
380,ola,59.5833,151.2833,18.97,83,15,2.31,RU,1686350467
381,tamanrasset,22.785,5.5228,27.95,10,0,2.06,DZ,1686350467
382,sao vicente,-23.9631,-46.3919,27.1,26,0,2.71,BR,1686350467
383,chilca,-12.5211,-76.7372,19.61,84,41,4.57,PE,1686350468
384,morant bay,17.8815,-76.4093,29.84,86,70,4.42,JM,1686350468
385,ejura,7.3856,-1.3562,23.27,96,91,2.94,GH,1686350468
386,saint-pierre,-21.3393,55.4781,21.82,73,0,3.09,RE,1686350469
387,howard springs,-12.497,131.047,22.95,63,20,4.38,AU,1686350469
388,general villegas,-35.0328,-63.0125,12.24,22,100,1.89,AR,1686350469
389,iranduba,-3.2847,-60.1861,29.18,85,37,1.53,BR,1686350470
390,kourou,5.1552,-52.6478,26.03,89,32,2.32,GF,1686350471
391,papao,-17.75,-149.55,28.82,69,50,7.65,PF,1686350471
392,san felipe,10.3399,-68.7425,25.78,76,99,1.49,VE,1686350471
393,kargasok,59.0556,80.8572,9.94,65,30,2.53,RU,1686350471
394,vorkuta,67.5,64.0,8.02,49,100,7.54,RU,1686350472
395,owando,-0.4819,15.8999,21.4,97,100,0.54,CG,1686350472
396,vila velha,-20.3297,-40.2925,22.97,87,0,3.6,BR,1686350265
397,sanibel,26.449,-82.0223,31.7,69,1,2.24,US,1686350473
398,la rioja,42.25,-2.5,12.88,79,8,3.56,ES,1686350473
399,tanjung pandan,-2.75,107.65,24.97,88,54,3.17,ID,1686350473
400,naze,28.3667,129.4833,23.51,87,100,3.68,JP,1686350474
401,benjamin constant,-4.3831,-70.0311,26.07,88,40,1.03,BR,1686350474
402,hoa binh,20.8133,105.3383,25.78,87,56,1.39,VN,1686350474
403,deschutes river woods,43.9915,-121.3584,20.33,48,40,6.69,US,1686350475
404,port said,31.2565,32.2841,23.99,83,40,4.63,EG,1686350475
405,kudahuvadhoo,2.6708,72.8944,27.78,78,80,2.1,MV,1686350475
406,whakatane,-37.9585,176.9854,14.73,72,12,2.24,NZ,1686350476
407,santa ana,33.7456,-117.8678,24.97,71,100,4.12,US,1686350267
408,maintirano,-18.0667,44.0167,22.08,88,0,2.97,MG,1686350476
409,jiazi,22.8779,116.067,27.85,81,88,1.3,CN,1686350476
410,tralee,52.2704,-9.7026,15.75,85,100,2.57,IE,1686350477
411,cascais,38.6979,-9.4215,20.28,93,98,6.26,PT,1686350477
412,zhaqsy,51.9083,67.3133,12.89,72,20,2.66,KZ,1686350477
413,greenville,35.6127,-77.3663,27.09,38,0,1.54,US,1686350247
414,merizo village,13.2658,144.6691,29.99,81,100,2.96,GU,1686350478
